㔂	lân
七字仔	tshit-lī-á
七早八早	tshit-tsá-peh-tsá
七早八早	tshit-tsá-pueh-tsá
七星	tshit-tshenn
七星	tshit-tshinn
七晏八晏	tshit-uànn-peh-uànn
七晏八晏	tshit-uànn-pueh-uànn
七月半	Tshit-ge̍h puànn
拜門口	pài mn̂g-khá
七爺	Tshit-iâ
七老八老	tshit-lāu-peh-lāu
七老八老	tshit-lāu-pueh-lāu
丈	tn̄g
丈人	tiūnn-lâng
丈人公	tiūnn-lâng-kong
丈人媽	tiūnn-lâng-má
丈人爸	tiūnn-lâng-pâ
丈公	tiūnn-kong
丈姆	tiūnn-ḿ
丈姆婆	tiūnn-ḿ-pô
三	sam
三七仔	sam-tshit-á
三不五時	sam-put-gōo-sî
三八	sam-pat
三八氣	sam-pat-khuì
三太子	Sam-thài-tsú
三層	sam-tsân
三層肉	sam-tsân-bah
三山國王	Sam-san-kok-ông
三心兩意	sam-sim-lióng-ì
三思	sàm-su
三教	sam-kàu
三文魚	Sam-bûn-hû
三更	sann-kenn
三更	sann-kinn
三更半暝	sann-kenn-puànn-mê
三更半暝	sann-kinn-puànn-mî
三牲	sam-sing
三界公	Sam-kài-kong
三界娘仔	sam-kài-niû-á
三絃	sam-hiân
三線路	sam-suànn-lōo
三肢手	sann-ki-tshiú
三角	sann-kak
三角六肩	sann-kak-la̍k-king
三角窗	sann-kak-thang
三角褲	sann-kak-khòo
三跤貓	sann-kha-niau
三跤馬	sann-kha-bé
三輪車	sann-lián-tshia
三長兩短	sann-tn̂g-nn̄g-té
三除四扣	sann-tû-sì-khàu
三頓	sann tǹg
上	tsiūnn
上久	siōng-kú
上任	tsiūnn-jīm
上任	tsiūnn-līm
上元	Siōng-guân
上元暝	Siōng-guân-mê
上元暝	Siōng-guân-mî
上加	siōng-ke
上北	tsiūnn-pak
上午	siōng-ngóo
上卌袂攝	tsiūnn-siap-bē-liap
上卌袂攝	tsiūnn-siap-buē-liap
上天	siōng-thian
上好	siōng hó
上尺工	Siāng-tshe-kong
上尾	siōng-bué
上尾	siōng-bé
上山	tsiūnn-suann
上山頭	tsiūnn-suann-thâu
上崎	tsiūnn-kiā
上市	tsiūnn-tshī
上帝	Siōng-tè
上帝公	Siōng-tè-kong
上手	tsiūnn-tshiú
上教	tsiūnn-kà
上桌	tsiūnn-toh
上殕	tshiūnn-phú
上水	tshiūnn-tsuí
上濟	siōng tsē
上濟	siōng tsuē
上無	siōng-bô
上目	tsiūnn-ba̍k
上等	siōng-tíng
上緊	siōng kín
上聲	sióng-siann
上蓋	siōng-kài
上訴	siōng-sòo
上課	siōng-khò
上青苔	tshiūnn-tshenn-thî
上青苔	tshiūnn-tshinn-thî
上頭仔	siōng-thâu-á
下	ē
下元	Hā-guân
麻粩	muâ-láu
米粩	bí-láu
下勻	ē-ûn
下午	hā-ngóo
下半暝	ē-puànn-mê
下半暝	ē-puànn-mî
下司	ē-si
下山	hā-san
下底	ē-té
下性命	hē-sènn-miā
下性命	hē-sìnn-miā
下手	hē-tshiú
下擺	ē-pái
下早仔	e-tsái-á
下昏	e-hng
下昏暗	e-hng-àm
下晝	ē-tàu
下晝頓	ē-tàu-tǹg
下晡	ē-poo
下暗	e-àm
下本	hē-pún
下水	hā-suí
下水湯	hā-suí-thng
下港	ē-káng
下痟	hā-siau
下落	hē-lo̍h
下跤	ē-kha
下跤手人	ē-kha-tshiú-lâng
下輩	ē-puè
下頦	ē-hâi
下顎	ē-ham
下願	hē-guān
下𦜆	ē-ham
不	put
不三不四	put-sam-put-sù
不中用	put-tiòng-iōng
不仁	put-jîn
不仁	put-lîn
不但	put-tān
不動產	put-tōng-sán
不孝	put-hàu
不得了	put-tik-liáu
不得已	put-tik-í
不才	put-tsâi
不敢當	put-kám-tong
不時	put-sî
不服	put-ho̍k
不止	put-tsí
不止仔	put-tsí-á
不死鬼	put-sú-kuí
不求人	sun-á-tshiú
孫仔手	sun-á-tshiú
阿孫手	a-sun-tshiú
不法	put-huat
不滿	put-buán
不答不七	put-tap-put-tshit
不管時	put-kuán-sî
不義	put-gī
不而過	put-jî-kò
不而過	put-lî-kò
丑	thiú
丑仔	thiú-á
且慢	tshiánn-bān
且慢	tshé-bān
世	sè
世事	sè-sū
世代	sè-tāi
世俗	sè-sio̍k
世俗人	sè-sio̍k-lâng
世情	sè-tsîng
世界	sè-kài
世紀	sè-kí
世間	sè-kan
世間人	sè-kan-lâng
丙	piánn
並	pīng
个	ê
中	tìng
中中仔	tiong-tiong--á
中人	tiong-lâng
中傷	tiòng-siong
中元	tiong-guân
拜門口	pài mn̂g-kháu
中古	tiong-kóo
中和	tiong-hô
中央	tiong-ng
中學	tiong-ha̍k
中心	tiong-sim
中意	tìng-ì
中指	tiong-tsáinn
中旬	tiong-sûn
中晝	tiong-tàu
中晝時	tiong-tàu-sî
中晝頓	tiong-tàu-tǹg
中晝飯	tiong-tàu-pn̄g
中毒	tiòng-to̍k
中用	tiòng-iōng
中秋	Tiong-tshiu
中秋節	Tiong-tshiu-tseh
中秋節	Tiong-tshiu-tsueh
中秋餅	Tiong-tshiu-piánn
中立	tiong-li̍p
中等	tiong-tíng
中範	tiong-pān
中脊	tiong-tsit
中計	tiòng-kè
中途	tiong-tôo
中醫	tiong-i
中間	tiong-kan
中風	tiòng-hong
串	tshǹg
串仔	tshǹg-á
串講	tshuàn-kóng
串通	tshuàn-thong
丸	uân
丸仔	uân-á
丹	tan
丹毒	tan-to̍k
丹田	tan-tiân
主	tsú
主人	tsú-lâng
主任	tsú-jīm
主任	tsú-līm
主動	tsú-tōng
主婚	tsú-hun
主婦	tsú-hū
主席	tsú-si̍k
主張	tsú-tiunn
主意	tsú-ì
主持	tsú-tshî
主權	tsú-khuân
主管	tsú-kuán
主義	tsú-gī
主要	tsú-iàu
主見	tsú-kiàn
主角	tsú-kak
主辦	tsú-pān
主顧	tsú-kòo
主顧客	tsú-kòo-kheh
丼	tôm
久	kú
久久	kú-kú
久仰	kiú-gióng
久來	kú--lâi
久年	kú-nî
久見	kiú-kiàn
久長	kú-tn̂g
久長病	kú-tn̂g-pēnn
久長病	kú-tn̂g-pīnn
么	io
之	tsi
乍	tsànn
乏	ha̍t
乖	kuai
乖巧	kuai-khá
乙	it
九	káu
九孔	káu-kháng
九層塔	káu-tsàn-thah
九芎仔	kiú-kiong-á
乞	khit
乞的	khit--ê
乞食	khit-tsia̍h
乞食命	khit-tsia̍h-miā
乞食琴	khit-tsia̍h-khîm
乞食頭	khit-tsia̍h-thâu
也	iā
也好	iā hó
也是	iā sī
乳名	jú-miâ
乳名	lú-miâ
乾	kuann
乾仔孫	kan-á-sun
亂	luān
亂世	luān-sè
亂使	luān-sú
亂來	luān-lâi
亂彈	lān-thân
亂操操	luān-tshau-tshau
亂講	luān-kóng
亂鐘仔	luān-tsing-á
了	liáu
了了	liáu-liáu
了尾仔囝	liáu-bué-á-kiánn
了尾仔囝	liáu-bé-á-kiánn
了工	liáu-kang
了後	liáu-āu
了本	liáu-pún
了然	liáu-jiân
了然	liáu-liân
了錢	liáu-tsînn
予	hōo
予伊	hōo i
事	sū
事主	sū-tsú
事事項項	sū-sū-hāng-hāng
事件	sū-kiānn
事務	sū-bū
事務所	sū-bū-sóo
事實	sū-si̍t
事後	sū-āu
事業	sū-gia̍p
事理	sū-lí
二	jī
二	lī
二九暝	Jī-káu-mê
二九暝	Lī-káu-mî
二房	jī-pâng
二房	lī-pâng
二手	jī-tshiú
二手	lī-tshiú
二指	jī-tsáinn
二指	lī-tsáinn
五	gōo
五仁	ngóo-jîn
五仁	ngóo-lîn
五分仔車	gōo-hun-á-tshia
五分車	gōo-hun-tshia
五加皮	ngóo-ka-pî
五四三	gōo-sì-sann
五子直	gōo-jí-ti̍t
五子直	gōo-lí-ti̍t
五彩	ngóo-tshái
五日節	Gōo-ji̍t-tseh
五日節	Gōo-li̍t-tsueh
五月節	Gōo-gue̍h-tseh
五月節	Gōo-ge̍h-tsueh
五柳居	ngóo-liú-ki
五柳居	ngóo-liú-ku
五福	ngóo-hok
五穀	ngóo-kok
五筋膎	gōo-kin-kê
五筋膎	gōo-kun-kuê
五臟	ngóo-tsōng
五路	ngóo-lōo
五金	ngóo-kim
五金行	ngóo-kim-hâng
五香	ngóo-hiang
井	tsénn
井	tsínn
井水	tsénn-tsuí
井水	tsínn-tsuí
亞鉛	a-iân
亞鉛線	a-iân-suànn
亞鉛鉼	a-iân-phiánn
亡	bông
亡魂	bông-hûn
交	ka
交仗	kau-tiōng
交代	kau-tài
交割	kau-kuah
交往	kau-óng
交情	kau-tsîng
交懍恂	ka-lún-sún
交接	kau-tsiap
交插	kau-tshap
交換	kau-uānn
交易	kau-i̍k
交替	kau-thè
交替	kau-thuè
交椅	kau-í
交流	kau-liû
交涉	kau-sia̍p
交結	kau-kiat
交繃	kau-penn
交繃	kau-pinn
交纏	kau-tînn
交落	ka-la̍uh
交落枕	ka-la̍uh-tsím
交落身	ka-la̍uh-sin
交通	kau-thong
交關	kau-kuan
交陪	kau-puê
交際	kau-tsè
亥	hāi
亦	i̍k
享受	hiáng-siū
享福	hiáng-hok
京戲	kiann-hì
亭	tîng
亭仔	tîng-á
亭仔跤	tîng-á-kha
人	jîn
人	lîn
人中	jîn-tiong
人中	lîn-tiong
人事	jîn-sū
人事	lîn-sū
人人	lâng-lâng
人倫	jîn-lûn
人倫	lîn-lûn
人參	jîn-sim
人參	lîn-sim
人員	jîn-uân
人員	lîn-uân
人客	lâng-kheh
人家	jîn-ke
人家	lîn-ke
人家厝仔	jîn-ke-tshù-á
人家厝仔	lîn-ke-tshù-á
人工	lâng-kang
人影	lâng-iánn
人情	jîn-tsîng
人情	lîn-tsîng
人情世事	jîn-tsîng-sè-sū
人情世事	lîn-tsîng-sè-sū
人懸漢大	lâng-kuân-hàn-tuā
人才	lâng-tsâi
人望	jîn-bōng
人望	lîn-bōng
人格	jîn-keh
人格	lîn-keh
人權	jîn-khuân
人權	lîn-khuân
人民	jîn-bîn
人民	lîn-bîn
人氣	jîn-khì
人氣	lîn-khì
人物	jîn-bu̍t
人物	lîn-bu̍t
人生	jîn-sing
人生	lîn-sing
人範	lâng-pān
人緣	lâng-iân
人造	jîn-tsō
人造	lîn-tsō
人面	lâng-bīn
人頭	lâng-thâu
人額	lâng-gia̍h
人馬	jîn-má
人馬	lîn-má
仁	jîn
飽仁    pá-jîn
仁丹	jîn-tan
仁丹	lîn-tan
仁仁仁	jîn-jîn-jîn
仁仁仁	lîn-lîn-lîn
仁愛	jîn-ài
仁愛	lîn-ài
仁慈	jîn-tsû
仁慈	lîn-tsû
仁義	jîn-gī
仁義	lîn-gī
仄	tseh
仆	phak
仇	siû
今	tann
今仔	tann-á
今仔日	kin-á-ji̍t
今仔日	kin-á-li̍t
今年	kin-nî
介在	kài-tsāi
介紹	kài-siāu
仔	á
仕	sū
付	hù
仙	sian
仙丹	sian-tan
仙人	sian-jîn
仙人	sian-lîn
仙女	sian-lí
仙女	sian-lú
仙姑	sian-koo
仙拚仙	sian-piànn-sian
仙桃	sian-thô
仙洞	sian-tōng
仙草	sian-tsháu
仝	kāng
仝心	kāng-sim
仝款	kāng-khuán
仝沿	kāng-iân
仝爸各母	kāng-pē-koh-bú
代	tāi
代先	tāi-sing
代書	tāi-su
代替	tāi-thè
代替	tāi-thuè
代理	tāi-lí
代筆	tāi-pit
代表	tāi-piáu
代誌	tāi-tsì
代辦	tāi-pān
令	līng
以	í
以前	í-tsîng
以及	í-ki̍p
以後	í-āu
以早	í-tsá
件	kiānn
任	jīm
任	līm
份	hūn
份量	hūn-liōng
份額	hūn-gia̍h
仿	hóng
仿仔雞	hóng-á-ke
仿仔雞	hóng-á-kue
企業	khì-gia̍p
伊	i
伐	hua̍h
休	hiu
休學	hiu-ha̍k
休息	hiu-sik
伙食	hué-si̍t
伙食	hé-si̍t
伨	thīn
伨頭	thīn-thâu
伯	peh
伯公	peh-kong
伯勞仔	pit-lô-á
估	kóo
估價	kóo-kè
伴	phuānn
伴奏	phuānn-tsàu
伴娶	phuānn-tshuā
伴嫁	phuānn-kè
伴手	phuānn-tshiú
伶俐	líng-lī
伸	tshun
伸勻	tshun-ûn
伸勼	tshun-kiu
伸手	tshun-tshiú
伸捙	tshun-tshia
伸跤	tshun-kha
伸長手	tshun-tn̂g-tshiú
伻	phenn
佃戶	tiān-hōo
但是	tān-sī
佇	tī
佇咧	tī-leh
佈	pòo
佈田	pòo-tshân
佈田管	pòo-tshân-kóng
佈田花	pòo-tshân-hue
佈稻仔	pòo-tiū-á
佈置	pòo-tì
位	uī
位置	uī-tì
低	kē
低厝仔	kē-tshù-á
低級	kē-kip
低路	kē-lōo
低路師	kē-lōo-sai
低音	kē-im
住址	tsū-tsí
住戶	tsū-hōo
住所	tsū-sóo
何	hô
何乜苦	hô-mí-khóo
何必	hô-pit
何況	hô-hóng
何苦	hô-khóo
佗	tó
佗一个	tó tsi̍t ê
佗位	tó-uī
佗落	tó-lo̍h
佗落	tá-lo̍h
佛	Hu̍t
佛仔	pu̍t-á
佛像	hu̍t-siōng
佛堂	hu̍t-tn̂g
佛寺	hu̍t-sī
佛手柑	hu̍t-tshiú-kam
佛手瓜	hu̍t-tshiú-kue
佛教	Hu̍t-kàu
佛祖	Pu̍t-tsóo
佛門	hu̍t-mn̂g
佛龕	pu̍t-kham
作	tsoh
作亂	tsok-luān
作品	tsok-phín
作孽	tsok-gia̍t
作家	tsok-ka
作弄	tsok-lōng
作弊	tsok-pè
作怪	tsok-kuài
作戰	tsok-tsiàn
作文	tsok-bûn
作業	tsok-gia̍p
作法	tsok-huat
作為	tsok-uî
作物	tsok-bu̍t
作用	tsok-iōng
作田	tsoh-tshân
作田人	tsoh-tshân-lâng
作穡	tsoh-sit
作穡人	tsoh-sit-lâng
作者	tsok-tsiá
你	lí
佩服	puē-ho̍k
佬	láu
佬仔	láu-á
佮	kah
佮喙	kah-tshuì
佮意	kah-ì
佮股	kap-kóo
佯	tènn
佯	tìnn
佯戇	tènn-gōng
佯戇	tìnn-gōng
佯毋知	tènn-m̄-tsai
佯毋知	tìnn-m̄-tsai
佯生	tènn-tshenn
佯生	tìnn-tshinn
佯痟	tènn-siáu
佯痟	tìnn-siáu
佯顛佯戇	tènn-tian-tènn-gōng
佯顛佯戇	tìnn-tian-tìnn-gōng
佳人	ka-jîn
佳人	ka-lîn
佳哉	ka-tsài
佳期	ka-kî
佳音	ka-im
使	sái
使弄	sái-lōng
使性地	sái-sìng-tē
使性地	sái-sìng-tuē
使用人	sú-iōng-lâng
使目尾	sái-ba̍k-bué
使目尾	sái-ba̍k-bé
使目箭	sái-ba̍k-tsìnn
來	lâi
來世	lâi-sè
來來去去	lâi-lâi-khì-khì
來去	laih
來往	lâi-óng
來歷	lâi-li̍k
來洗	lâi-sé
來賓	lâi-pin
來路	lâi-lōo
例	lē
例外	lē-guā
侍候	sū-hāu
侗戇	tòng-gōng
供	king
供體	king-thé
依倚	i-uá
依賴	i-nāi
侮辱	bú-jio̍k
侮辱	bú-lio̍k
侵	tshim
侵犯	tshim-huān
侵門踏戶	tshim-mn̂g-ta̍h-hōo
侹	thiānn
便	piān
便便	piān-piān
便媒人	piān-muê-lâng
便宜	pân-gî
便所	piān-sóo
便服	piān-ho̍k
便當	piān-tong
便當篋仔	piān-tong-kheh-á
便看	piān-khuànn
便若	piān-nā
便菜	piān-tshài
便菜飯	piān-tshài-pn̄g
便藥仔	piān-io̍h-á
便衣	piān-i
便衫	piān-sann
便飯	piān-pn̄g
促	tshik
促歲壽	tshik-huè-siū
促歲壽	tshik-hè-siū
俏	tshio
俗	sio̍k
俗價	sio̍k-kè
俗名	sio̍k-miâ
俗物	sio̍k-mi̍h
俗物	sio̍k-mn̍gh
俗語	sio̍k-gí
俗語	sio̍k-gú
俗語話	sio̍k-gí-uē
俗語話	sio̍k-gú-uē
俗貨	sio̍k-huè
俗貨	sio̍k-hè
俗賣	sio̍k-bē
俗賣	sio̍k-buē
俗麭	sio̍k-pháng
保	pó
保存	pó-tsûn
保守	pó-siú
保家	pó-ke
保庇	pó-pì
保正	pó-tsiànn
保溫杯	pó-un-pue
保生大帝	Pó-sing-tāi-tè
保留	pó-liû
保管	pó-kuán
保衛	pó-uē
保證	pó-tsìng
保證人	pó-tsìng-jîn
保證人	pó-tsìng-lîn
保護	pó-hōo
保重	pó-tiōng
保鏢	pó-pio
保險	pó-hiám
保領	pó-niá
保養場	pó-ióng-tiûnn
信	sìn
信仰	sìn-gióng
信任	sìn-jīm
信任	sìn-līm
信徒	sìn-tôo
信心	sìn-sim
信用	sìn-iōng
信篤	sìn-táu
信號	sìn-hō
修	siu
修改	siu-kái
修整	siu-tsíng
修正	siu-tsìng
修理	siu-lí
修行	siu-hīng
修補	siu-póo
修面	siu-bīn
修養	siu-ióng
俱樂部	kū-lo̍k-pōo
俺	lán
倉	tshng
倉庫	tshng-khòo
個	kò
個外月	kò-guā-gue̍h
個外月	kò-guā-ge̍h
倌	kuann
倍	puē
倒	tó
倒剾	tò-khau
倒去	tò--khì
倒反	tò-píng
倒吊	tò-tiàu
倒吊子	tò-tiàu-tsí
倒向	tò-hiànn
倒店	tó-tiàm
倒彈	tò-tuānn
倒手	tò-tshiú
倒手爿	tò-tshiú-pîng
倒拗	tò-áu
倒摔向	tò-siàng-hiànn
倒擔	tó-tànn
倒數	tó-siàu
倒會仔	tó-huē-á
倒會仔	tó-hē-á
倒爿	tò-pîng
倒覆	tò-phak
倒貼	tò-thiap
倒踏	tò-ta̍h
倒轉	tò-tńg
倒轉去	tò-tńg--khì
倒退	tò-thè
倒退攄	tò-thè-hāu
倒退鱟	tò-thè-hāu
倒面	tò-bīn
倒頭	tò-thâu
倒頭栽	tò-thâu-tsai
倒頭槌	tò-thâu-thuî
倒頭行	tò-thâu-kiânn
倖	sīng
候脈	hāu-me̍h
候補	hāu-póo
候選人	hāu-suán-jîn
候選人	hāu-suán-lîn
倚	uá
倚壁	uá-piah
倚山食山	uá-suann-tsia̍h-suann
倚年	uá-nî
倚意	uá-ì
倚晝	uá-tàu
倚蹛	uá-tuà
倚近	uá-kīn
倚近	uá-kūn
倚靠	uá-khò
借	tsioh
借人	tsioh--lâng
借問	tsioh-mn̄g
借用	tsioh-iōng
借蹛	tsioh-tuà
借過	tsioh-kuè
借過	tsioh-kè
借錢	tsioh tsînn
倩	tshiànn
倩的	tshiànn--ê
倫理	lûn-lí
倯	sông
值	ta̍t
值得	ta̍t-tit
值班	ti̍t-pan
值錢	ta̍t-tsînn
偃	ián
偃倒	ián-tó
假	ká
假仙	ké-sian
假仙假觸	ké-sian-ké-tak
假使	ká-sú
假包	ké-pâu
假喙齒	ké-tshuì-khí
假好衰	ké-hó-sue
假影	ké-iánn
假死	ké-sí
假死假活	ké-sí-ké-ua̍h
假無意	ké-bô-ì
假痟	ké-siáu
假銀票	ké-gîn-phiò
假銀票	ké-gûn-phiò
假鬼假怪	ké-kuí-ké-kuài
假𠢕	ké-gâu
偉大	uí-tāi
偌	guā
偌久	guā-kú
偌濟	guā-tsē
偌濟	guā-tsuē
偌爾	guā-á-nī
偏	phian
偏偏	phian-phian
偏偏仔	phian-phian-á
偏僻	phian-phiah
偏名	phian-miâ
偏心	phian-sim
偏頭	phinn-thâu
做	tsò
做	tsuè
做人	tsò--lâng
做人	tsuè--lâng
做人情	tsò-jîn-tsîng
做人情	tsuè-lîn-tsîng
做伙	tsò-hué
做伙	tsuè-hé
做伴	tsò-phuānn
做伴	tsuè-phuānn
做功德	tsò-kong-tik
做功德	tsuè-kong-tik
做司公	tsò-sai-kong
做司公	tsuè-sai-kong
做囮	tsò-buê
做囮	tsuè-buê
做大水	tsò-tuā-tsuí
做大水	tsuè-tuā-tsuí
做客	tsò-kheh
做客	tsuè-kheh
做工	tsò-kang
做工	tsuè-kang
做店面	tsò tiàm-bīn
做店面	tsuè tiàm-bīn
做忌	tsò-kī
做忌	tsuè-kī
做戲	tsò-hì
做戲	tsuè-hì
做旬	tsò-sûn
做旬	tsuè-sûn
做月內	tsò-gue̍h-lāi
做月內	tsuè-ge̍h-lāi
做歹	tsò-pháinn
做歹	tsuè-pháinn
做水	tsò-tsuí
做水	tsuè-tsuí
做法	tsò-huat
做法	tsuè-huat
頭牙	thâu-gê
尾牙	bué-gê
做生日	tsò-senn-ji̍t
做生日	tsuè-sinn-li̍t
做生理	tsò-sing-lí
做生理	tsuè-sing-lí
做痢	tsò-lī
做瘦氣	tsò-sán-khuì
做瘦氣	tsuè-sán-khuì
做竅	tsò-khiò
做竅	tsuè-khiò
做肉餅	tsò-bah-piánn
做肉餅	tsuè-bah-piánn
做臭人	tsò-tshàu-lâng
做臭人	tsuè-tshàu-lâng
做色	tsò-sik
做色	tsuè-sik
做莊	tsò-tsong
做莊	tsuè-tsong
做親情	tsò-tshin-tsiânn
做親情	tsuè-tshin-tsiânn
做議量	tsò-gī-niū
做議量	tsuè-gī-niū
做譴損	tsò-khiàn-sńg
做譴損	tsuè-khiàn-sńg
做醮	tsò-tsiò
做醮	tsuè-tsiò
做陣	tsò-tīn
做陣	tsuè-tīn
做頭	tsò-thâu
做頭	tsuè-thâu
做風颱	tsò-hong-thai
做風颱	tsuè-hong-thai
做鬼	tsò-kuí
做鬼	tsuè-kuí
停	thîng
停手	thîng-tshiú
停止	thîng-tsí
停睏	thîng-khùn
停跤	thîng-kha
停電	thîng-tiān
偝	āinn
偝	iāng
偝巾	āinn-kin
偝巾	iāng-kun
健丟	kiān-tiu
健全	kiān-tsuân
健康	kiān-khong
偷	thau
偷來暗去	thau-lâi-àm-khì
偷偷仔	thau-thau-á
偷咬雞仔	thau-kā-ke-á
偷咬雞仔	thau-kā-kue-á
偷工減料	thau-kang-kiám-liāu
偷拈	thau ni
偷掠	thau-lia̍h
偷提	thau-the̍h
偷揜	thau-iap
偷生的	thau-senn--ê
偷生的	thau-sinn--ê
偷看	thau khuànn
偷聽	thau thiann
偷食	thau tsia̍h
偷食步	thau-tsia̍h-pōo
傀儡	ka-lé
傀儡戲	ka-lé-hì
傍	pn̄g
傑出	kia̍t-tshut
傘	suànn
備查	pī-tsa
備辦	pī-pān
催	tshui
催油	tshui-iû
催生	tshui-sing
傱	tsông
傱錢	tsông-tsînn
傳	thn̂g
傳後嗣	thn̂g-hiō-sū
傳授	thuân-siū
傳染	thuân-jiám
傳染	thuân-liám
傳票	thuân-phiò
傳種	thn̂g-tsíng
債	tsè
債主	tsè-tsú
債券	tsè-kǹg
債務	tsè-bū
債權	tsè-khuân
傷	siong
傷口	siong-kháu
傷天害理	siong-thian-hāi-lí
傷害	siong-hāi
傷心	siong-sim
傷本	siong-pún
傷痕	siong-hûn
傷腦筋	siong-náu-kin
傷腦筋	siong-náu-kun
傷跡	siong-jiah
傷跡	siong-liah
傷重	siong-tiōng
傷風敗俗	siong-hong-pāi-sio̍k
像	tshiūnn
僥	hiau
僥倖	hiau-hīng
僥倖錢	hiau-hīng-tsînn
僥心	hiau-sim
僫	oh
僫做	oh tsò
僫做	oh tsuè
僫講	oh kóng
僭位	tsiàm-uī
僭話	tsiàm-uē
價	kè
價值	kè-ta̍t
價數	kè-siàu
價錢	kè-tsînn
僻靜	phiah-tsīng
億	ik
儉	khiām
儉儉仔用	khiām-khiām-á īng
儉腸凹肚	khiām-tn̂g-neh-tōo
儉錢	khiām-tsînn
儑	gām
儑面	gām-bīn
儑頭儑面	gām-thâu-gām-bīn
優先	iu-sian
優待	iu-thāi
優秀	iu-siù
優美	iu-bí
優點	iu-tiám
儼硬	giám-ngē
儼硬	giám-ngī
允	ín
允	ún
允人	ín--lâng
允人	ún--lâng
允准	ín-tsún
允准	ún-tsún
允頭路	ín-thâu-lōo
允頭路	ún-thâu-lōo
元宵	Guân-siau
元氣	guân-khì
元神	guân-sîn
元首	guân-siú
兄	hiann
兄哥	hiann-ko
兄嫂	hiann-só
兄弟	hiann-tī
兄弟姊妹	hiann-tī-tsí-muē
兄弟姊妹	hiann-tī-tsí-bē
兄長	hing-tióng
充公	tshiong-kong
充分	tshiong-hun
充滿	tshiong-buán
充血	tshiong-hiat
充足	tshiong-tsiok
兆	tiāu
兇狂	hiong-kông
先	sian
先生	sian-sinn
先生娘	sian-sinn-niû
先生媽	sian-sinn-má
先的	sian--ê
先知	sian-ti
先覺	sian-kak
先輩	sian-puè
先進	sian-tsìn
光	kng
光復	kong-ho̍k
光明	kong-bîng
光景	kong-kíng
光榮	kong-îng
光面	kng-bīn
光頭	kng-thâu
克	khik
克服	khik-ho̍k
克虧	khik-khui
兌	tuē
兌換	tuī-uānn
免	bián
免數想	bián siàu-siūnn
免稅	bián-suè
免稅	bián-sè
免費	bián-huì
免錢飯	bián-tsînn-pn̄g
免驚	bián-kiann
兔	thòo
兔仔	thòo-á
兔仔尾	thòo-á-bué
兔仔尾	thòo-á-bé
兜	tau
入	ji̍p
入	li̍p
入來	ji̍p-lâi
入來	li̍p-lâi
入厝	ji̍p-tshù
